,LGCYINVESTORID,TOP10SHSHLDVALpct,Unnamed: 0,CLUSTER,FULLNAME
840,2005144,0.38790639189173504,840,0,"Winslow Capital Management, LLC"
841,2005151,0.7181131004084066,841,0,C WorldWide Asset Management Fondsmaeglerselskab A/S
842,2005154,0.3702902950112367,842,0,Investeringsforeningen Handelsinvest
843,2005169,0.2053572087248038,843,0,"Duncker, Streett & Co., L.L.C."
844,2005172,0.3096058713696129,844,0,DNB Asset Management AS
845,2005174,0.5763990471023093,845,0,"PAR Capital Management, Inc."
846,2005176,0.3925634548531344,846,0,Neumeier Poma Investment Counsel LLC
847,2005177,0.4145220635043913,847,0,"P.A.W. Capital Partners, LP"
848,2005190,0.16920481152853145,848,0,"Highbridge Capital Management, LLC"
849,2005191,0.8428051569270926,849,0,"Zazove Associates, LLC"
850,2005192,0.37741549479547576,850,0,Pekin Hardy Strauss Wealth Management
851,2005199,0.2594548900700805,851,0,"Garrison Asset Management, LLC"
852,2005209,0.3771894391123914,852,3,ING Bank N.V.
853,2005221,0.4881437714711458,853,0,Ninety One SA Pty Ltd.
854,2005249,0.2592338071692946,854,3,"Hallmark Capital Management, Inc."
855,2005261,0.4505154677934166,855,0,"McKinley Carter Wealth Services, Inc."
856,2005275,1.0,856,0,Vega Investment Managers
857,2005284,0.7797980900371034,857,0,La Financière de l'Echiquier
858,2005312,0.21975785624638,858,3,"R. M. Davis, Inc."
859,2005318,0.32850561927805244,859,0,"Deltec Asset Management, LLC"
860,2005337,0.2266990461989803,860,0,"Regions Investment Management, Inc."
861,2005338,0.8250119022786816,861,0,Portland Investment Counsel Inc.
862,2005342,0.7279648784550267,862,0,RBC Investment Solutions (CI) Limited
863,2005343,0.3663587022581287,863,0,"John G. Ullman & Associates, Inc."
864,2005347,0.23342950899675916,864,0,"Sabadell Asset Management, S.A., S.G.I.I.C., Sociedad Unipersonal"
865,2005363,0.4467589426088812,865,0,Arvest Asset Management
866,2005364,0.5682736131599921,866,0,Bell Bank
867,2005365,0.38053705791832254,867,0,"Professional Advisory Services, Inc."
868,2005397,0.7449145702023797,868,0,Pyrford International Limited
869,2005431,0.8793600988984325,869,0,ASA Gold and Precious Metals Limited
870,2005432,0.2527138722832491,870,0,Wilmington Funds Management Corporation
871,2005436,0.3323724126179073,871,3,CooksonPeirce Wealth Management
872,2005443,0.608930005317401,872,0,City of London Investment Management Co. Ltd.
873,2005447,0.7737212071060035,873,0,"Wynnefield Capital, Inc."
874,2005455,0.7781390925030736,874,0,Fondsmæglerselskabet Maj Invest A/S
875,2005462,0.7552719003329608,875,0,Comgest S.A.
876,2005485,1.0,876,0,Folketrygdfondet
877,2005487,0.2634344185332381,877,0,Mitchell Sinkler & Starr
878,2005500,0.2534797697776658,878,0,AMF Pensionsförsäkring AB
879,2005506,0.7214711377497377,879,0,Odey Asset Management LLP
880,2005510,0.7299683640463496,880,0,TT International Asset Management Ltd
881,2005516,0.27924705002598177,881,3,"Quest Investment Management, LLC"
882,2005527,0.2668583344295044,882,0,"Miller/Howard Investments, Inc."
883,2005529,0.6230718136949939,883,0,Coutts & Co.
884,2005531,0.4232637024999817,884,0,Deutsche Asset & Wealth Management
885,2005532,0.18030692391331266,885,0,Nissay Asset Management Corp.
886,2005549,0.5701483546723176,886,0,"LaSalle Investment Management Securities, LLC"
887,2005552,0.3519281863514045,887,0,Kestrel Investment Management Corp.
888,2005555,0.9154194828666404,888,3,Parus Finance
889,2005568,0.38098762140412,889,0,"Wilbanks, Smith & Thomas Asset Management, LLC"
890,2005572,0.2774286158741145,890,3,M Capital Advisors
891,2005579,0.3269509823016171,891,3,HSBC Private Bank (Suisse) S.A.
892,2005583,0.4361551416602722,892,0,"Wells Fargo Securities, LLC"
893,2005639,0.6592620409674855,893,0,Lloyds Bank International Limited
894,2005640,0.2693244322190694,894,3,H. M. Payson & Co.
895,2005645,0.19633047217167468,895,0,"BlackRock Japan Co., Ltd."
896,2005661,0.2837896141413574,896,0,"Berkshire Asset Management, LLC"
897,2005666,0.6708164042134123,897,0,Close Brothers Asset Management
898,2005667,0.3306728746352939,898,3,"Davidson Investment Advisors, Inc."
899,2005673,0.28877038153931633,899,0,Van Berkom & Associates Inc.
900,2005678,0.6655209674408381,900,3,"Bruce & Company, Inc."
901,2005680,0.09714461898934676,901,0,"CornerCap Investment Counsel, Inc."
902,2005683,0.28774055093805795,902,0,Nomura Asset Management (UK) Ltd.
903,2005686,0.5599749189717508,903,3,"Academy Capital Management, Inc."
904,2005691,0.4634575544123002,904,0,"CBRE Clarion Securities, L.L.C."
905,2005693,0.2069040510556046,905,0,"Leavell Investment Management, Inc."
906,2005699,0.3185859930215569,906,0,"Cadence Bank, N.A."
907,2005709,0.25448912616975,907,0,CA Indosuez Wealth (Europe) S.A.
908,2005724,0.907717792454778,908,0,Morgan Stanley Investment Management (Singapore)
909,2005729,0.7101535764769843,909,0,"D.C. Capital Advisors, Limited"
910,2005795,0.9302230069653972,910,0,"Quaker Capital Investments, LLC"
911,2005801,0.7442414966084848,911,0,Canyon Capital Advisors LLC
912,2005807,0.13416415411351282,912,0,"Point72 Asset Management, L.P."
913,2005812,0.3884554049615054,913,0,HSBC Global Asset Management Deutschland GmbH
914,2005816,0.3506482254411473,914,0,"AWM Investment Company, Inc."
915,2005821,0.4116504982662644,915,0,"Maverick Capital, Ltd."
916,2005825,0.9694019842803876,916,0,"Oracle Investment Management, Inc."
917,2005830,0.9999999999999998,917,0,"Oak Hill Capital Partners, L.P."
918,2005849,0.2815768045080958,918,0,"Buckingham Capital Management, Inc._NLE"
919,2005881,0.7081041890415801,919,0,"Appaloosa Management, L.P."
920,2005883,0.3481273337039057,920,0,"Deerfield Management Company, L.P."
921,2005888,0.18349680152791906,921,0,Fuller & Thaler Asset Management Inc.
922,2005893,0.3228669251595921,922,0,"Carlson Capital, L.P."
923,2005911,0.3029177424828869,923,3,"Smith Asset Management Group, LP"
924,2005931,0.2712088103811685,924,0,"McKinley Capital Management, LLC"
925,2005950,0.49769068139478,925,0,HSBC Global Asset Management (Taiwan) Limited
926,2005951,0.6472637348339039,926,0,"Sprucegrove Investment Management, Ltd."
927,2005954,0.2147156637265812,927,0,Douglas C. Lane & Associates
928,2005956,0.7670703354176311,928,0,"Cortland Associates, Inc."
929,2005958,0.31914914701985164,929,0,J.M. Forbes & Co. LLP
930,2005961,0.8394362688072207,930,0,"EOS Partners, L.P."
931,2005963,0.629308438361791,931,0,"Robertson Opportunity Capital, LLC"
932,2005964,0.1177649986602586,932,0,Guggenheim Investments
933,2005965,0.17310577506994948,933,0,Norges Bank Investment Management (NBIM)
934,2005970,0.46388720915591797,934,0,"MU Investments Co., Ltd."
935,2005972,0.6188335975192095,935,0,Templeton Asset Management Ltd.
936,2005998,0.2584678115153913,936,3,"Appleton Partners, Inc."
937,2006019,0.5195126268528083,937,3,Jensen Investment Management Inc.
938,2006020,0.34540059439774523,938,0,"OrbiMed Advisors, LLC"
939,2006028,0.5954576915375832,939,0,Keskinäinen eläkevakuutusyhtiö Varma
940,2006029,0.5432720093013241,940,0,Mandatum Henkivakuutusosakeyhtiö
941,2006033,0.28457392980024804,941,3,Saturna Capital Corporation
942,2006036,0.6205784886161299,942,0,Bank Pictet & Cie (Asia) Ltd.
943,2006060,0.991781382802565,943,0,"Sun Valley Gold, LLC"
944,2006064,0.6449589771757509,944,3,"Birinyi Associates, Inc."
945,2006071,0.2909369128047258,945,0,Chemical Bank
946,2006073,0.4238046181623321,946,3,"Alerus Financial, N.A."
947,2006129,0.4068891197042717,947,3,"Beach Investment Counsel, Inc."
948,2006130,0.6931414321685255,948,0,Temasek Holdings Pte. Ltd.
949,2006134,0.865710128332158,949,0,Caledonia Investments PLC
950,2006137,0.22632017804757915,950,3,Achmea Investment Management B.V.
951,2006150,0.6459711323622529,951,0,Fir Tree Partners
952,2006159,0.4759840143239479,952,3,St. Bedrijfstakpensioenfonds voor de Media PNO
953,2006162,0.26485739840114564,953,3,"Murphy Capital Management, Inc."
954,2006163,0.24268440994360196,954,3,"Oak Ridge Investments, LLC"
955,2006172,0.2718349440968169,955,3,"Logan Capital Management, Inc."
956,2006200,0.5018906752209016,956,0,"Shaker Investments, L.L.C."
957,2006203,0.3413719234454682,957,0,Groesbeck Investment Management Corp.
958,2006207,0.5932738442954759,958,0,Platinum Investment Management Ltd.
959,2006238,0.3946158223985826,959,3,Front Barnett Associates LLC
960,2006241,0.5361325736782436,960,0,"Sculptor Capital Management, Inc"
961,2006245,0.4806976203946589,961,0,BVF Partners L.P.
962,2006264,0.18176739230480374,962,3,"NISA Investment Advisors, L.L.C."
963,2006266,0.27046941869329305,963,0,"National Investment Services, Inc."
964,2006267,0.9250420437033192,964,0,Brahman Capital Corp.
965,2006275,0.6593770482471089,965,0,"Harvest Management, LLC"
966,2006277,0.2817397052959153,966,3,"CCM Investment Advisers, LLC"
967,2006285,0.21126542432190984,967,0,Nordea Funds Oy
968,2006297,0.3749101527933451,968,0,"Oberweis Asset Management, Inc."
969,2006319,0.3123498521554265,969,0,"Monarch Capital Management, Inc."
970,2006320,0.6158359938722329,970,0,"Alecta pensionsförsäkring, ömsesidigt"
971,2006328,0.6283598741022359,971,0,"Sand Hill Global Advisors, LLC"
972,2006331,0.14253592073372678,972,0,"Segall Bryant & Hamill, LLC"
973,2006332,0.6529514488505063,973,0,Egerton Capital (UK) LLP
974,2006334,0.2702130973072873,974,0,Howland Capital Management LLC
975,2006340,0.4905389858742459,975,3,"Shikiar Asset Management, Inc."
976,2006350,0.24068490772246046,976,0,FCA Corp.
977,2006356,0.9214072941258712,977,0,"McDonald Capital Investors, Inc."
978,2006396,0.4547380272876964,978,0,GAM Investment Management (Switzerland) AG
979,2006397,0.5910056620303905,979,0,"Cobalt Capital Management, Inc."
980,2006423,0.8800154723019371,980,0,Sloane Robinson LLP
981,2006430,1.0,981,0,"Cerberus Capital Management, L.P."
982,2006452,0.08138298495713342,982,0,Citadel Advisors LLC
983,2006474,0.26283075342717066,983,0,Artisan Partners Limited Partnership
984,2006478,0.2283227514047908,984,0,Kempen Capital Management N.V.
985,2006514,0.651445781371146,985,0,"Doliver Advisors, L.P."
986,2006515,0.4724253094637147,986,0,"Schwerin Boyle Capital Management, Inc."
987,2006561,0.15769240139480878,987,0,"DePrince, Race & Zollo, Inc."
988,2006585,0.6112118113719721,988,0,Avenir Corporation
989,2006586,0.7171397656472711,989,0,Leonetti and Associates LLC
990,2006588,0.6477068182457969,990,0,"Oaktree Capital Management, L.P."
991,2006594,0.3925900777512855,991,0,Eastspring Investments (Hong Kong) Limited
992,2006595,0.8421634991430562,992,0,Eastspring Investments (Singapore) Limited
993,2006596,0.2350627832070487,993,0,"David Vaughan Investments, Inc."
994,2006618,0.1585146591478594,994,0,"Palisade Capital Management, LLC"
995,2006623,0.18118296787010096,995,0,Boston Partners
996,2006642,0.1545548465905153,996,0,"GlobeFlex Capital, L.P."
997,2006643,0.1887772801769835,997,0,"Securian Asset Management, Inc."
998,2006670,0.17992850493929347,998,3,The Burney Company
999,2006672,0.6881309895529641,999,0,Third Point LLC
1000,2006682,0.5367318986673449,1000,0,Adelante Capital Management LLC
1001,2006698,0.3703840347463713,1001,3,"Bainco International Investors, LLC"
1002,2006713,0.3556139134168325,1002,0,"Basswood Capital Management, LLC"
1003,2006765,0.4950030264278675,1003,0,"Fairview Capital Investment Management, L.L.C."
1004,2006770,0.6101416650706297,1004,0,"Analyst I.M.S., Investment Management Services Ltd."
1005,2006772,0.4304528950816504,1005,0,Herald Investment Management Limited
1006,2006778,0.3220063517391851,1006,0,"Paradigm Capital Management, Inc."
1007,2006798,0.1409757774179481,1007,3,"World Asset Management, Inc."
1008,2006799,0.1674085318203437,1008,0,"Olstein Capital Management, L.P."
1009,2006800,0.6261921526473918,1009,0,"Kayne Anderson Capital Advisors, L.P."
1010,2006814,0.3043735307401666,1010,0,"Skyline Asset Management, L.P."
1011,2006817,0.28454231089622833,1011,0,Meitav Dash Investments Ltd.
1012,2006821,0.2948965674722558,1012,0,"Northstar Investment Advisors, LLC"
1013,2006823,0.30740620493222925,1013,0,"Hodges Capital Management, Inc."
1014,2006825,0.8662339753100343,1014,0,"Matthews International Capital Management, L.L.C."
1015,2006832,0.1767743089617053,1015,3,Rhumbline Advisers Ltd. Partnership
1016,2006840,0.3925682475299378,1016,0,"Select Equity Group, L.P."
1017,2006843,0.2808658270063854,1017,0,"Columbia Partners, L.L.C. Investment Management_NLE"
1018,2006846,1.0,1018,0,Franklin Templeton Asset Management (India) Pvt. Ltd.
1019,2006906,0.1565860297230086,1019,0,Aberdeen Standard Investments Inc.
1020,2006915,0.32345556557328803,1020,0,Intact Investment Management Inc.
1021,2006918,0.94851224897356,1021,0,"Silchester International Investors, L.L.P."
1022,2006919,0.3527602777685431,1022,3,"Reliant Investment Management, LLC"
1023,2006920,0.3216215785903287,1023,3,San Francisco Sentry Investment Group
1024,2006922,0.2728295630411605,1024,0,"Pzena Investment Management, LLC"
1025,2006925,0.2568022791158068,1025,0,Canandaigua National Bank & Trust Company
1026,2006926,0.129234144030869,1026,0,Jefferies LLC
1027,2006928,0.3032298710796205,1027,3,"Cabot Wealth Management, Inc."
1028,2006930,0.3647169257716752,1028,3,"Roffman Miller Associates, Inc."
1029,2006931,0.6737343575884189,1029,0,Symphony Asset Management LLC
1030,2006942,0.6428468807488604,1030,0,Orbis Investment Management Ltd.
1031,2006945,0.3816466961928875,1031,3,"Pioneer Trust Bank, N.A."
1032,2006950,0.10837179748684173,1032,0,"Bridgeway Capital Management, Inc."
1033,2006954,0.2786953816318771,1033,0,Union Bank & Trust Company (Nebraska)
1034,2006955,0.8944654907749758,1034,0,"Greenlight Capital, Inc."
1035,2006956,0.2388466746296099,1035,0,"Thomas White International, Ltd."
1036,2006959,0.2834528517014146,1036,0,Tufton Capital Management LLC
1037,2006960,0.6931613914944192,1037,0,"Evermay Wealth Management, LLC"
1038,2006964,0.28488407296020923,1038,0,"Grace & White, Inc."
1039,2006966,0.9826379061015816,1039,2,National Mutual Insurance Federation of Agricultural Cooperatives
1040,2006967,0.4328704702465341,1040,0,The Edgar Lomax Company
1041,2006973,0.3351910801088198,1041,3,The Fiduciary Group
1042,2006977,0.3934422158020569,1042,0,Needham Investment Management L.L.C.
1043,2006978,0.7490618410248778,1043,0,J.P. Morgan Asset Management (Singapore) Limited
1044,2006984,0.37705670465238306,1044,3,"Doheny Asset Management, LLC"
1045,2006987,0.3468171559366496,1045,0,Ingalls & Snyder LLC (Asset Management)
1046,2006990,0.24820762052315365,1046,3,Pacific Global Investment Management Co.
1047,2006995,0.646019228507355,1047,0,"Philo Smith & Company, Inc."
1048,2006997,0.350321616320882,1048,0,"Pittenger & Anderson, Inc."
1049,2006999,0.2560556372140472,1049,3,"Cypress Asset Management, Inc."
1050,2007002,0.413576370948051,1050,3,The First National Bank in Sioux Falls
1051,2007003,0.7363309194204504,1051,0,Gryphon International Investment Corp.
1052,2007014,0.2280910825463031,1052,3,"Everence Capital Management, Inc."
1053,2007017,0.3232841478308442,1053,3,"Roberts, Glore & Co."
1054,2007027,0.3548469754901827,1054,0,"Farr, Miller & Washington, LLC"
1055,2007036,0.24191811520135184,1055,0,"Steinberg Global Asset Management, Ltd_NLE"
1056,2007037,0.2641498520757612,1056,0,"Morgan Dempsey Capital Management, LLC"
1057,2007039,0.16061985785652738,1057,0,BlackRock International Ltd.
1058,2007040,0.32515015995218177,1058,3,"Parsons Capital Management, Inc."
1059,2007042,0.5233709502555066,1059,0,"Sands Capital Management, LLC"
1060,2007043,0.7836272908369469,1060,0,"Welch Capital Partners, LLC"
1061,2007046,0.4541461237801006,1061,3,"Capital Investment Counsel, Inc."
1062,2007059,0.5581844323684634,1062,0,PCJ Investment Counsel Ltd.
1063,2007069,0.4487379374787609,1063,0,Sadoff Investment Management LLC
1064,2007071,0.42418230991041145,1064,0,"First Fiduciary Investment Counsel, Inc."
1065,2007084,0.22570804410803566,1065,0,North Star Asset Management Inc.
1066,2007085,0.2284191937507594,1066,3,"Chilton Capital Management, LLC"
1067,2007090,0.2503791545242841,1067,3,Boston Financial Management LLC
1068,2007092,0.2731081997467613,1068,0,"Zweig-DiMenna Associates, Inc."
1069,2007099,0.36838000433947776,1069,0,"JAG Capital Management, LLC"
1070,2007117,0.21563910072946674,1070,3,"Boston Family Office, LLC"
1071,2007130,0.3506576662354623,1071,3,"Private Asset Management, Inc."
1072,2007139,0.5468962697036206,1072,0,Eagle Capital Management L.L.C.
1073,2007141,0.5063441992170709,1073,0,"The Connable Office, Inc."
1074,2007144,0.6337132965429126,1074,0,Schneider Capital Management Corporation
1075,2007145,0.21920985395177156,1075,3,Kentucky Retirement Systems
1076,2007149,0.34793704508636825,1076,0,Pennsylvania Public School Employees Retirement System
1077,2007152,0.44665759176542996,1077,0,"Eagle Global Advisors, LLC"
1078,2007153,0.5961099639547413,1078,0,Coronation Fund Managers Limited
1079,2007159,0.2593217359370223,1079,0,"Palouse Capital Management, Inc."
1080,2007167,0.6389041080803538,1080,2,"Sigma Investment Counselors, Inc."
1081,2007170,0.4094263849925329,1081,0,"Disciplined Growth Investors, Inc."
1082,2007175,0.6515854828588963,1082,0,Check Capital Management Inc.
1083,2007181,0.9235064486564858,1083,0,Consulta Ltd.
1084,2007182,0.3242970482990127,1084,3,"Busey Wealth Management, Inc."
1085,2007186,0.4031818864601745,1085,3,Shapiro Capital Management LLC
1086,2007188,0.2726509921759286,1086,0,"Schaper, Benz & Wise Investment Counsel, Inc."
1087,2007190,0.29836357609342395,1087,3,"G.W. Henssler & Associates, Ltd."
1088,2007192,0.4122364575823327,1088,0,Markel-Gayner Asset Management Corp.
1089,2007194,0.11927216083265435,1089,0,"Paradigm Asset Management Company, L.L.C."
1090,2007197,0.37490176137467457,1090,3,CPS Investment Advisors
1091,2007198,0.6313169571976587,1091,0,"Polen Capital Management, LLC"
1092,2007204,0.4686834262323314,1092,3,Nexus Investment Management Inc.
1093,2007207,0.6297624263115253,1093,0,"Bain Capital Public Equity, LP"
1094,2007209,0.36982070274176,1094,0,SunTrust Bank
1095,2007210,0.8599445760869436,1095,0,P. Schoenfeld Asset Management LP
1096,2007212,0.15616162714198764,1096,0,Eads & Heald Wealth Management
1097,2007214,0.7313177781670487,1097,0,"Tontine Asset Management, LLC"
1098,2007215,0.10666461770429753,1098,0,"Chartwell Investment Partners, LLC"
1099,2007217,0.09685625236596453,1099,0,Renaissance Technologies LLC
1100,2007239,0.2864660106701246,1100,0,Charter Trust Company
1101,2007244,1.0,1101,0,Toscafund Asset Management LLP
1102,2007255,0.5822414602776188,1102,0,"FSI Group, LLC"
1103,2007257,0.2946024425121593,1103,0,"MAI Capital Management, LLC"
1104,2007261,1.0,1104,0,"Joho Capital, L.L.C."
1105,2007264,0.4855401599009945,1105,0,E. S. Barr & Company
1106,2007296,0.21178372893446384,1106,0,Artemis Investment Management LLP
1107,2007315,0.9623880124060988,1107,0,BNP Paribas Asset Management Asia Limited
1108,2007319,0.626609580039219,1108,1,"Prospector Partners, LLC"
1109,2007329,0.9837854938207088,1109,0,"Aristeia Capital, L.L.C."
1110,2007330,0.1805655071444392,1110,0,Moors & Cabot Inc.
1111,2007331,0.616503870307235,1111,0,"Security Capital Research & Management, Inc."
1112,2007335,0.4689215059363101,1112,0,"Eubel Brady & Suttman Asset Management, Inc."
1113,2007340,0.6194153203771036,1113,0,"Firsthand Capital Management, Inc."
1114,2007342,0.1727138635037236,1114,0,GWL Investment Management Ltd.
1115,2007346,1.0,1115,0,Adelphi Capital LLP
1116,2007360,1.0,1116,0,Hall Capital Partners LLC
1117,2007361,0.4423558815064068,1117,0,UBS Switzerland AG
1118,2007362,0.688240011730448,1118,0,Horizon Kinetics LLC
1119,2007365,0.6170783591899086,1119,3,"Marsico Capital Management, L.L.C."
1120,2007378,0.41847006003327575,1120,3,Security National Bank
1121,2007379,0.3977653728807133,1121,0,J O Hambro Capital Management Limited
1122,2007383,0.1631339634687224,1122,0,LSV Asset Management
1123,2007385,0.3228843333682643,1123,3,The Haverford Trust Company
1124,2007386,0.4264357188225497,1124,3,Community Trust and Investment Company
1125,2007402,0.4431782885283847,1125,2,"Bel Air Investment Advisors, LLC"
1126,2007403,0.3527228020318724,1126,0,Prudential Financial Securities Invt.Trust Enterprise Ltd.
1127,2007411,0.17371911533361314,1127,0,"Hennessy Advisors, Inc."
1128,2007412,0.21435748891428025,1128,0,"ICON Advisers, Inc."
1129,2007418,0.5621906051462917,1129,0,Lockheed Martin Investment Management Co.
1130,2007419,0.8946825773019169,1130,2,"Jasper Ridge Partners, L.P."
1131,2007421,0.4359574368759584,1131,0,"Asset Advisors Investment Management, LLC"
1132,2007429,0.4609631417944064,1132,3,"Dillon & Associates, Inc."
1133,2007432,0.5084849840493116,1133,3,"Scharf Investments, LLC"
1134,2007434,0.32013096890677506,1134,3,"Buckingham Asset Management, LLC"
1135,2007435,0.41452790188878624,1135,3,Albion Financial Group
1136,2007444,1.0,1136,0,"Fairholme Capital Management, L.L.C."
1137,2007445,0.4907713708794709,1137,0,Ayco Asset Management
1138,2007464,0.1174052304658086,1138,0,Wells Capital Management Inc.
1139,2007469,0.8717948734175127,1139,0,"Henry H. Armstrong Associates, Inc."
1140,2007482,0.3507820642496271,1140,0,"Bennicas and Associates, Inc."
1141,2007524,0.28408138784073433,1141,3,M&R Capital Management Inc.
1142,2007531,0.2983141380211556,1142,0,Profit Investments
1143,2007547,0.3773272698644698,1143,3,"Wellington Shields Capital Management, LLC"
1144,2007548,0.3984827425416239,1144,0,"Girard Investment Services, LLC"
1145,2007551,0.2384138447310268,1145,0,Toth Financial Advisory Corporation
1146,2007561,0.19568788950898724,1146,3,"TWIN Capital Management, Inc."
1147,2007567,0.15226832925936126,1147,0,Stifel Nicolaus Investment Advisors
1148,2007596,0.2963805712921413,1148,3,"Marco Investment Management, L.L.C."
1149,2007624,0.3336191968896623,1149,0,Premier Asset Management Ltd
1150,2007683,0.5896489578198681,1150,0,"Highfields Capital Management, L.P."
1151,2007689,0.2176292825081701,1151,0,"Maltese Capital Management, LLC"
1152,2007709,0.36911355894861625,1152,0,Symons Capital Management Inc.
1153,2007711,0.4355089391513505,1153,0,Axiom Investors
1154,2007714,0.9540588114174928,1154,0,"Derby and Company, Inc."
1155,2007719,0.3487900982925369,1155,0,"WBH Advisory, Inc."
1156,2007720,1.0,1156,0,Bessemer Securities LLC
1157,2007773,0.2638258696429279,1157,0,"Murphy, Middleton, Hinkle & Parker, Inc."
1158,2007776,0.3295057985445821,1158,0,"Advisory Research, Inc."
1159,2007788,1.0,1159,0,TMBAM Eastspring Asset Management Company Limited
1160,2007808,0.5234312772401574,1160,0,Rafferty Asset Management LLC
1161,2007815,0.3577925913855591,1161,0,"Condor Capital Management, Inc."
1162,2007816,0.289755488355383,1162,3,"Bremer Trust, N.A."
1163,2007818,0.4593315349310953,1163,3,"Chesapeake Asset Management, LLC"
1164,2007820,0.4804845850751122,1164,0,Hutchinson Capital Management
1165,2007824,0.4375894211673211,1165,0,"IMS Capital Management, Inc."
1166,2007828,0.3335247029556047,1166,0,"Peloton Wealth Strategists, Inc."
1167,2007829,0.3890038205397496,1167,0,"Daruma Capital Management, LLC_NLE"
1168,2007831,0.5358384657751989,1168,0,"SouthernSun Asset Management, LLC"
1169,2007832,0.2852134130266014,1169,0,Fiduciary Financial Services Wealth Management
1170,2007833,0.4108876811793665,1170,0,"Schulhoff & Company, Inc."
1171,2007834,0.6225884301954053,1171,0,J. V. Bruni and Company
1172,2007836,0.1657194414315419,1172,0,Todd Asset Management LLC
1173,2007837,0.3909031035336724,1173,3,"AR Asset Management, Inc."
1174,2007841,0.3799850756543533,1174,3,"First American Trust, FSB"
1175,2007873,0.3437703428415492,1175,3,"JLB & Associates, Inc."
1176,2007888,0.18795359669101816,1176,0,"AFAM Capital, Inc."
1177,2007893,0.4204695660915171,1177,3,"American Trust Investment Advisors, LLC"
1178,2106633,0.3553944321900228,1178,3,"Northeast Investment Management, Inc."
1179,2106638,0.25672207062808466,1179,3,F. L. Putnam Investment Management Co.
1180,2106640,0.4333255049885331,1180,0,"Fairport Asset Management, LLC"
1181,2106641,0.5290408190952942,1181,0,"St. Denis J. Villere & Company, LLC"
1182,2106654,0.2706206375506073,1182,0,Old Republic International Corp.
1183,2106662,0.3359824851336662,1183,0,"Cardinal Capital Management, L.L.C."
1184,2106667,0.7874150789915103,1184,0,Ashburton (Jersey) Ltd.
1185,2106670,0.4612353350287415,1185,3,"Hendley & Company, Inc."
1186,2106675,1.0,1186,0,"Longview Asset Management, L.L.C."
1187,2106680,0.4666175641308571,1187,0,"Coldstream Capital Management, Inc."
1188,2106692,0.33879550662507085,1188,3,"Sawgrass Asset Management, L.L.C."
1189,2106698,0.6967592387307752,1189,0,"HSBC Global Asset Management (México), S. A. de C. V."
1190,2106712,1.0,1190,0,Koonce Securities LLC
1191,2106714,0.4391854190283344,1191,0,"First Dallas Securities, Inc."
1192,2106749,0.2300781173241652,1192,0,"The Colony Group, LLC"
1193,2106751,0.41736852812115455,1193,3,Oakwood Capital Management LLC
1194,2106753,0.5139904802586072,1194,0,"Polaris Capital Management, LLC"
1195,2106755,0.4176436293879765,1195,3,"Morris Capital Advisors, LLC"
1196,2106765,0.6624813688601745,1196,3,"Berkshire Capital Holdings, Inc."
1197,2106771,0.8061603013534775,1197,3,Matthew 25 Management Corporation
1198,2106772,0.2904415172227461,1198,3,"Colonial Trust Advisors, Inc."
1199,2106779,1.0,1199,0,"Dynamo Administração de Recursos, Ltda."
1200,2106782,0.3339454126640508,1200,3,Cincinnati Financial Corporation
1201,2106796,0.2659901715759544,1201,0,"Greenwood Gearhart, Inc"
1202,2111387,0.3900361012471716,1202,0,Shelter Life Insurance Co.
1203,2111418,0.5583969921849337,1203,0,ICW Group
1204,2111421,0.922255989988853,1204,0,"Alaska Permanent Capital Management, Co."
1205,2111424,0.3907130261993373,1205,3,"Cambridge Financial Group, Inc."
1206,2111432,0.7627949140512362,1206,0,Provident Trust Company
1207,2111433,0.17418955099778616,1207,0,"CastleArk Management, LLC"
1208,2111471,0.406466598775502,1208,0,Canal Insurance Company
1209,2112994,0.3224398450115319,1209,3,"The London Company of Virginia, LLC"
1210,2113725,0.1410729881108138,1210,0,"Analytic Investors, LLC_NLE"
1211,2113731,0.314656473532189,1211,0,Formula Growth Ltd.
1212,2113746,0.5870598512081617,1212,0,United Fire & Casualty Company
1213,2113766,0.8947254424108602,1213,0,Chou Associates Management Inc.
1214,2113769,0.17715315576361162,1214,0,"Legg Mason Asset Management (Japan) Co., Ltd."
1215,2132700,0.6033975120101711,1215,0,Itaú Unibanco S.A.
1216,2132704,0.22178492505315295,1216,3,Carnegie Investment Counsel
1217,2132711,0.377975383523078,1217,0,Burgundy Asset Management Ltd.
1218,2132727,0.4083339013221324,1218,3,JCIC Asset Management Inc
1219,2132733,0.2062120282998548,1219,0,"Ironwood Investment Management, LLC"
1220,2132734,0.1993677322427564,1220,3,Ledyard National Bank
1221,2132784,0.2534156111430505,1221,3,"Stonebridge Capital Advisors, LLC"
1222,2132789,0.31699271424289555,1222,0,"B. Riley Wealth Management, Inc"
1223,2132868,0.34617135886688244,1223,0,Simmons First Trust Company N.A.
1224,2132870,0.1973921438496287,1224,0,"Zacks Investment Management, Inc."
1225,2136325,0.9682130415031464,1225,0,Credit Suisse Hedging-Griffo Asset Management S.A.
1226,2136335,0.23361931587649765,1226,3,"OakBrook Investments, LLC"
1227,2136920,0.2742854008910686,1227,0,Hillsdale Investment Management Inc.
1228,2136923,0.5869541615756118,1228,0,QV Investors Inc.
1229,2136931,0.8148242698850064,1229,0,"Hansberger Growth Investors, LP"
